exp_rep, bfly, algo, time, iterations
3, fes, 2068454555012.64, 55.66, 78018
3, fes, 2064997650162.08, 56.27, 78882
3, fes, 2062399257856.23, 56.88, 79763
3, fes, 2063522411199.93, 57.49, 80651
3, fes, 2063041232464.25, 58.10, 81525
3, fes, 2057075213637.37, 58.71, 82393
3, fes, 2057157313167.78, 59.32, 83248
3, fes, 2057192773763.01, 59.93, 84145
4, fes, 4699396452521.48, 0.01, 13
4, fes, 2114131016308.87, 0.62, 870
4, fes, 2173873732644.38, 1.23, 1767
4, fes, 2091796139003.17, 1.84, 2621
4, fes, 2168652662584.01, 2.45, 3555
4, fes, 2111896722920.02, 3.06, 4432
4, fes, 2142381193520.64, 3.67, 5337
4, fes, 2166383291121.77, 4.27, 6223
4, fes, 2139758810801.95, 4.87, 7119
4, fes, 2186081893581.78, 5.47, 8010
4, fes, 2148279219424.99, 6.07, 8881
4, fes, 2131343513552.69, 6.67, 9766
4, fes, 2089419766476.55, 7.27, 10648
4, fes, 2079202789494.60, 7.87, 11525
4, fes, 2051746663428.75, 8.47, 12414
4, fes, 2054021507580.36, 9.07, 13300
4, fes, 2039614021483.58, 9.67, 14184
4, fes, 2023635512603.29, 10.27, 15083
4, fes, 2021879833348.77, 10.87, 15954
4, fes, 2023354485088.22, 11.47, 16853
4, fes, 2017703431483.68, 12.07, 17749
4, fes, 2023999186254.88, 12.67, 18610
4, fes, 2026603225313.77, 13.27, 19451
4, fes, 2013031493422.13, 13.87, 20285
4, fes, 2021306956754.55, 14.47, 21122
4, fes, 2023737457779.51, 15.07, 21902
4, fes, 2026496954264.81, 15.67, 22702
4, fes, 2023482129213.26, 16.27, 23493
4, fes, 2029697246853.77, 16.87, 24258
4, fes, 2022346359385.74, 17.47, 25053
4, fes, 2028023093247.90, 18.07, 25836
4, fes, 2018645024367.12, 18.67, 26617
4, fes, 2018598515956.94, 19.27, 27398
4, fes, 2019588997517.40, 19.87, 28170
4, fes, 2023838222443.28, 20.47, 28942
4, fes, 2017959873238.14, 21.07, 29721
4, fes, 2023325650801.46, 21.67, 30500
4, fes, 2028957013530.24, 22.27, 31278
4, fes, 2028011829296.58, 22.87, 32074
4, fes, 2040552417199.81, 23.47, 32851
4, fes, 2036585116702.78, 24.07, 33652
4, fes, 2035559942649.60, 24.67, 34442
4, fes, 2034317336085.10, 25.27, 35265
4, fes, 2033841582839.64, 25.87, 36118
4, fes, 2037582235133.87, 26.47, 36958
4, fes, 2041065640833.83, 27.07, 37828
4, fes, 2049452716098.77, 27.67, 38686
4, fes, 2050571906222.54, 28.27, 39564
4, fes, 2044983576116.27, 28.87, 40449
4, fes, 2038679093485.42, 29.47, 41321
4, fes, 2046753955123.05, 30.07, 42189
4, fes, 2048198088801.71, 30.67, 43030
4, fes, 2044442819542.92, 31.27, 43895
4, fes, 2052083215697.09, 31.87, 44751
4, fes, 2054658668399.90, 32.48, 45634
4, fes, 2057490317653.66, 33.09, 46523
4, fes, 2069188863920.87, 33.70, 47442
4, fes, 2067934003726.49, 34.31, 48339
4, fes, 2073048092995.37, 34.92, 49249
4, fes, 2072853721690.78, 35.53, 50140
4, fes, 2071253282930.20, 36.14, 51050
4, fes, 2077397987702.40, 36.75, 51933
4, fes, 2069834999380.92, 37.36, 52879
4, fes, 2077301865372.57, 37.97, 53753
4, fes, 2075119078805.63, 38.58, 54658
4, fes, 2074635757948.59, 39.19, 55533
4, fes, 2075694576100.45, 39.80, 56399
4, fes, 2071632857430.66, 40.41, 57266
4, fes, 2072957705549.38, 41.02, 58126
4, fes, 2071816581087.55, 41.63, 58992
4, fes, 2070190319364.20, 42.24, 59830
4, fes, 2070269466470.73, 42.85, 60667
4, fes, 2065755663964.55, 43.46, 61523
4, fes, 2069134567824.03, 44.07, 62347
4, fes, 2073756060903.03, 44.68, 63185
4, fes, 2071670422744.57, 45.29, 64019
4, fes, 2071502641505.04, 45.90, 64842
4, fes, 2067160933036.88, 46.51, 65693
4, fes, 2059580674454.02, 47.12, 66534
4, fes, 2061753487258.53, 47.73, 67380
