exp_rep, bfly, algo, time, iterations
4, fes, 101576904939589.77, 28.87, 19896
4, fes, 101825644048343.80, 29.47, 20304
4, fes, 101923115020427.00, 30.07, 20722
4, fes, 101938605037106.58, 30.67, 21159
4, fes, 102192749818532.89, 31.27, 21602
4, fes, 102325915909981.96, 31.87, 22054
4, fes, 102516969439614.75, 32.48, 22518
4, fes, 102280340173115.72, 33.09, 22986
4, fes, 102210617324099.66, 33.70, 23455
4, fes, 102040440369102.42, 34.31, 23928
4, fes, 102148043097725.33, 34.92, 24407
4, fes, 101967717056091.67, 35.53, 24882
4, fes, 102067980295385.94, 36.14, 25363
4, fes, 102087515287859.30, 36.75, 25838
4, fes, 102118263714879.94, 37.36, 26300
4, fes, 102034206737421.84, 37.97, 26749
4, fes, 101753690954349.22, 38.58, 27194
4, fes, 101591454656570.83, 39.19, 27638
4, fes, 101784246194297.72, 39.80, 28080
4, fes, 101588044688504.61, 40.41, 28514
4, fes, 101704967911373.73, 41.02, 28942
4, fes, 101749066654068.54, 41.63, 29372
4, fes, 101454101932966.42, 42.24, 29800
4, fes, 101698596623249.02, 42.85, 30228
4, fes, 101655876768813.16, 43.46, 30654
4, fes, 101556741250338.91, 44.07, 31094
4, fes, 101667273661272.64, 44.68, 31521
4, fes, 101823549963109.34, 45.29, 31948
4, fes, 101696979949494.05, 45.90, 32379
4, fes, 101730355833022.40, 46.51, 32797
4, fes, 101710118561386.06, 47.12, 33224
4, fes, 101535476610167.55, 47.73, 33649
4, fes, 101587551048801.83, 48.34, 34068
4, fes, 101555468215112.43, 48.95, 34484
4, fes, 101445984576500.96, 49.56, 34906
4, fes, 101535695431731.84, 50.17, 35323
4, fes, 101488235382774.05, 50.78, 35740
4, fes, 101579923254147.97, 51.39, 36157
4, fes, 101695879920996.66, 52.00, 36572
4, fes, 101746642201657.99, 52.61, 36991
4, fes, 101650669069746.56, 53.22, 37406
4, fes, 101693717543498.96, 53.83, 37822
4, fes, 101742480138304.49, 54.44, 38232
4, fes, 101408428579191.97, 55.05, 38656
4, fes, 101338659401926.70, 55.66, 39077
4, fes, 101291816950003.82, 56.27, 39498
4, fes, 101351415322468.83, 56.88, 39940
4, fes, 101392356617322.42, 57.49, 40387
4, fes, 101387277798570.28, 58.10, 40836
4, fes, 101265706895938.20, 58.71, 41296
4, fes, 101159457135771.72, 59.32, 41758
4, fes, 101141055074351.95, 59.93, 42223
5, fes, 119273307251094.91, 0.01, 4
5, fes, 106868573056082.11, 0.62, 470
5, fes, 103602165994154.88, 1.23, 941
5, fes, 106316529161732.96, 1.84, 1416
5, fes, 104575159296514.23, 2.45, 1892
5, fes, 107140094795048.01, 3.06, 2373
5, fes, 106002185182443.13, 3.67, 2848
5, fes, 104842363730100.00, 4.27, 3313
5, fes, 103574688428343.83, 4.87, 3766
5, fes, 102673752465347.40, 5.47, 4211
5, fes, 102171129786466.25, 6.07, 4654
5, fes, 101788433792970.17, 6.67, 5092
5, fes, 101461971226128.28, 7.27, 5526
5, fes, 101298174311613.45, 7.87, 5952
5, fes, 101380916989460.05, 8.47, 6383
5, fes, 101315118016976.40, 9.07, 6806
5, fes, 101764451966119.27, 9.67, 7226
5, fes, 101388162207367.47, 10.27, 7643
5, fes, 102402948850470.56, 10.87, 8066
5, fes, 102493115451954.32, 11.47, 8488
5, fes, 101997178815510.21, 12.07, 8902
5, fes, 101671397939876.03, 12.67, 9319
5, fes, 101450823138880.79, 13.27, 9726
5, fes, 101655052834005.36, 13.87, 10135
5, fes, 102428365779021.80, 14.47, 10547
5, fes, 102644630698442.67, 15.07, 10965
5, fes, 102753082171321.23, 15.67, 11374
5, fes, 102488374785967.64, 16.27, 11788
5, fes, 102582143500057.14, 16.88, 12202
5, fes, 102776111237636.64, 17.48, 12618
5, fes, 103135341051434.14, 18.08, 13032
5, fes, 103320415152617.79, 18.68, 13442
5, fes, 103116235532590.76, 19.28, 13851
5, fes, 102854829900777.74, 19.88, 14267
5, fes, 102881588360343.29, 20.48, 14683
5, fes, 102879640313981.51, 21.08, 15095
5, fes, 102906479172037.00, 21.68, 15509
5, fes, 102913482707872.56, 22.28, 15917
5, fes, 102897977776163.13, 22.88, 16335
5, fes, 102984799864272.22, 23.48, 16754
5, fes, 103224941282012.82, 24.08, 17163
5, fes, 103204135489951.89, 24.68, 17574
5, fes, 103195874482139.85, 25.28, 17984
5, fes, 103227349555037.90, 25.88, 18387
5, fes, 103185710955337.87, 26.48, 18782
5, fes, 103229410448879.63, 27.08, 19185
5, fes, 103422851867820.76, 27.68, 19569
5, fes, 103743421581938.01, 28.28, 19955
5, fes, 103999152934419.97, 28.88, 20345
5, fes, 104000672866178.61, 29.48, 20743
5, fes, 103861620164333.02, 30.08, 21141
5, fes, 103687907289017.47, 30.68, 21536
5, fes, 103390422313063.01, 31.28, 21923
5, fes, 103161001915335.04, 31.88, 22333
5, fes, 103178372506281.79, 32.49, 22734
5, fes, 103223177114794.30, 33.10, 23148
5, fes, 103212762708908.94, 33.71, 23568
5, fes, 102946174772148.38, 34.32, 23994
5, fes, 103084233352888.82, 34.93, 24438
5, fes, 102842970351896.14, 35.54, 24896
5, fes, 102701338478999.52, 36.15, 25350
5, fes, 102845663483365.52, 36.76, 25816
5, fes, 102892025427517.60, 37.37, 26284
5, fes, 103020118826181.25, 37.98, 26759
5, fes, 103137026986625.84, 38.59, 27230
5, fes, 103073148236138.26, 39.20, 27708
5, fes, 102956350687630.84, 39.81, 28189
5, fes, 102871996700862.18, 40.42, 28667
5, fes, 102744713619728.41, 41.03, 29132
5, fes, 102687236373507.57, 41.64, 29589
5, fes, 102782011904607.52, 42.25, 30034
5, fes, 102686276999429.85, 42.86, 30485
5, fes, 102587537534947.47, 43.47, 30925
5, fes, 102642686447422.92, 44.08, 31362
5, fes, 102604700588979.18, 44.69, 31788
5, fes, 102710501432409.46, 45.30, 32222
5, fes, 102716016309906.29, 45.91, 32649
5, fes, 102802458676400.80, 46.52, 33077
5, fes, 102793384233287.30, 47.13, 33499
5, fes, 102828644549644.39, 47.74, 33927
5, fes, 102908850567417.86, 48.35, 34349
5, fes, 102923295838947.19, 48.96, 34778
5, fes, 102925908570899.99, 49.57, 35194
5, fes, 102848000273089.01, 50.18, 35617
5, fes, 102713501954563.32, 50.79, 36039
5, fes, 102734714737453.54, 51.40, 36465
5, fes, 103018617358328.76, 52.01, 36888
5, fes, 103031807354465.93, 52.62, 37304
5, fes, 102963841871723.79, 53.23, 37724
5, fes, 103025691971891.56, 53.84, 38149
5, fes, 103098040135363.99, 54.45, 38584
5, fes, 103045265775930.66, 55.06, 39004
5, fes, 102919770062418.46, 55.67, 39430
5, fes, 102886193115161.46, 56.28, 39848
5, fes, 103050700428903.99, 56.89, 40266
5, fes, 102983177061588.43, 57.50, 40684
5, fes, 102953721945461.36, 58.11, 41103
5, fes, 103066418474359.39, 58.72, 41523
5, fes, 103007490910812.11, 59.33, 41940
5, fes, 102861735918027.16, 59.94, 42358
6, fes, 187968970743370.61, 0.01, 2
6, fes, 102964876874530.28, 0.62, 438
6, fes, 106019682773870.18, 1.23, 879
6, fes, 103554776642443.38, 1.84, 1331
6, fes, 101272120816899.06, 2.45, 1793
6, fes, 98707701774424.33, 3.06, 2257
6, fes, 99993845978445.81, 3.67, 2720
6, fes, 100790475111537.20, 4.27, 3185
6, fes, 100204183341744.52, 4.87, 3644
6, fes, 99206640861257.15, 5.47, 4132
6, fes, 99155286323684.98, 6.07, 4601
6, fes, 100162721515354.52, 6.67, 5074
6, fes, 99047160938535.14, 7.27, 5550
6, fes, 99377281299797.71, 7.87, 6013
6, fes, 99302140908962.03, 8.47, 6477
6, fes, 100345027611670.95, 9.07, 6929
6, fes, 100464011285736.48, 9.67, 7367
6, fes, 100715416108281.63, 10.27, 7810
6, fes, 100893898461955.60, 10.87, 8251
6, fes, 100616874241843.54, 11.47, 8682
6, fes, 100477060752652.40, 12.07, 9114
6, fes, 100388394858435.46, 12.67, 9535
6, fes, 100921407561103.81, 13.27, 9959
6, fes, 100758614495447.55, 13.87, 10377
6, fes, 100706173765503.07, 14.47, 10799
6, fes, 100619491762197.59, 15.07, 11227
6, fes, 100179386621657.58, 15.67, 11649
6, fes, 99845332718658.65, 16.27, 12068
6, fes, 99898348126357.14, 16.87, 12482
6, fes, 99375331854505.84, 17.47, 12898
6, fes, 99463910890426.18, 18.07, 13310
6, fes, 99929775133509.66, 18.67, 13725
6, fes, 100182366117075.37, 19.27, 14136
6, fes, 100026754900643.87, 19.87, 14551
6, fes, 99801031198916.58, 20.47, 14971
6, fes, 99665907196652.50, 21.07, 15380
6, fes, 99575428145464.61, 21.67, 15796
6, fes, 99689378996107.89, 22.27, 16211
6, fes, 99636146352420.98, 22.87, 16625
6, fes, 100095842964553.11, 23.47, 17037
6, fes, 100177018169016.04, 24.07, 17453
6, fes, 100053533063197.72, 24.67, 17869
6, fes, 99900210145138.71, 25.27, 18281
6, fes, 99823857907883.95, 25.87, 18695
6, fes, 99982666352310.84, 26.47, 19111
6, fes, 99787070481165.97, 27.07, 19526
6, fes, 99651185074440.91, 27.67, 19930
6, fes, 99807085149905.68, 28.27, 20341
6, fes, 99500188546266.25, 28.87, 20752
6, fes, 99749728000310.98, 29.47, 21168
6, fes, 100109876397257.75, 30.07, 21565
6, fes, 100055045349475.42, 30.67, 21958
6, fes, 100143975140109.01, 31.27, 22345
6, fes, 100168034447015.76, 31.87, 22740
6, fes, 100219665392612.53, 32.48, 23142
6, fes, 100218744754365.70, 33.09, 23541
6, fes, 100231303143727.68, 33.70, 23941
6, fes, 100404127979789.07, 34.31, 24343
6, fes, 100225680744611.39, 34.92, 24744
6, fes, 100209289237487.03, 35.53, 25153
6, fes, 100169177075403.40, 36.14, 25556
6, fes, 100236131620590.81, 36.75, 25964
6, fes, 100379139902881.52, 37.36, 26387
6, fes, 100408524625560.33, 37.97, 26810
6, fes, 100272012079411.90, 38.58, 27242
6, fes, 100295941128403.27, 39.19, 27689
6, fes, 100327196871407.94, 39.80, 28148
